FINLWT21,FINCBTAX,BLS_URBN,POPSIZE,EDUC_REF,EDUCA2,AGE_REF,AGE2,SEX_REF,SEX2,REF_RACE,RACE2,HISP_REF,HISP2,FAM_TYPE,MARITAL1,REGION,SMSASTAT,HIGH_EDU,EHOUSNGC,TOTEXPCQ,FOODCQ,TRANSCQ,HEALTHCQ,ENTERTCQ,EDUCACQ,TOBACCCQ,STUDFINX,IRAX,CUTENURE,FAM_SIZE,VEHQ,ROOMSQ,INC_HRS1,INC_HRS2,EARNCOMP,NO_EARNR,OCCUCOD1,OCCUCOD2,STATE,DIVISION,TOTXEST,CREDFINX,CREDITB,CREDITX,BUILDING,ST_HOUS,INT_PHON,INT_HOME
18608.167,43242,1,2,12,NA,75,.,1,NA,1,NA,2,NA,9,3,2,1,13,0,0,0,0,0,0,0,0,125,88000,4,2,3,4,.,.,7,1,NA,NA,55,3,-4158,0,NA,6000,08,2,NA,NA
21549.462,40800,2,5,14,NA,36,.,1,NA,1,NA,2,NA,6,1,2,2,14,0,0,0,0,0,0,0,0,.,0,1,5,6,9,50,.,4,2,12,NA,NA,NA,-2514,41,NA,6000,01,2,NA,NA
18429.321,151400,1,3,15,NA,60,.,1,NA,1,NA,2,NA,8,3,3,1,15,0,0,0,0,0,0,0,0,.,491000,1,1,6,6,70,.,1,1,06,NA,37,5,65986,.,NA,.,01,2,NA,NA
20942.632,150000,1,4,16,16,60,59,1,2,1,1,2,2,3,1,3,1,16,0,0,0,0,0,0,0,0,.,.,2,3,1,7,.,40,5,1,NA,03,37,5,56065,.,NA,.,01,2,NA,NA
20123.901,25484,1,2,12,12,87,87,1,2,1,1,2,1,1,1,3,1,12,0,0,0,0,0,0,0,0,.,0,1,2,1,7,.,.,8,0,NA,NA,48,7,0,.,NA,8000,01,2,NA,NA
20019.745,56934,1,1,12,10,34,35,2,1,1,1,1,1,5,1,3,1,13,0,0,0,0,0,0,0,0,.,0,1,9,2,6,.,48,6,3,NA,10,48,7,-7753,.,NA,.,01,2,NA,NA
14701.602,27000,1,1,11,NA,62,.,2,NA,2,NA,2,NA,9,3,4,1,13,0,0,0,0,0,0,0,0,.,0,1,2,1,5,40,.,4,2,10,NA,06,9,3367,.,NA,.,01,2,NA,NA
14160.904,63600,1,2,12,12,36,34,1,2,1,1,1,1,3,1,4,1,12,0,0,0,0,0,0,0,0,.,.,1,4,2,4,40,20,2,2,06,05,32,8,2346,.,NA,15000,01,2,NA,NA
18367.396,3500,1,4,12,NA,57,.,1,NA,1,NA,2,NA,8,3,3,1,12,0,0,0,0,0,0,0,0,.,0,2,1,1,7,.,.,8,0,NA,NA,37,5,985,.,NA,.,01,2,NA,NA
23196.717,74000,1,1,11,NA,45,.,2,NA,1,NA,1,NA,9,3,3,1,12,0,0,0,0,0,0,0,0,.,0,4,3,0,4,40,.,4,2,11,NA,48,7,4434,.,NA,.,04,2,NA,NA
22802.392,45000,1,2,14,NA,23,.,1,NA,1,NA,2,NA,8,5,3,1,14,0,0,0,0,0,0,0,0,.,4143,4,1,1,3,43,.,1,1,12,NA,51,5,6855,.,NA,.,08,2,NA,NA
17159.787,66000,1,2,15,13,40,52,2,1,4,1,2,2,3,1,4,1,15,0,0,0,0,0,0,0,0,.,130000,1,3,2,6,40,40,2,2,10,10,04,8,6643,.,NA,.,01,2,NA,NA
12615.551,56000,1,1,13,NA,51,.,2,NA,1,NA,1,NA,9,3,1,1,13,0,0,0,0,0,0,0,0,.,0,5,2,1,4,40,.,4,2,10,NA,34,2,4816,.,NA,.,08,2,NA,NA
24567.697,15862,1,3,11,NA,87,.,2,NA,1,NA,2,NA,8,2,3,1,11,0,0,0,0,0,0,0,0,.,100000,2,1,1,7,.,.,8,0,NA,NA,47,6,0,.,NA,.,01,2,NA,NA
18661.164,13714,1,5,10,NA,87,.,2,NA,1,NA,2,NA,8,2,3,2,10,0,0,0,0,0,0,0,0,.,.,2,1,1,5,.,.,8,0,NA,NA,NA,7,0,.,NA,.,01,2,NA,NA
22298.37,76360,1,2,15,12,63,56,1,2,1,1,2,2,1,1,1,1,15,0,0,0,0,0,0,0,0,.,0,1,2,2,5,.,15,5,1,NA,12,36,2,10420,0,NA,30000,01,2,NA,NA
14346.606,80000,1,2,16,NA,60,.,2,NA,1,NA,2,NA,8,5,3,1,16,0,0,0,0,0,0,0,0,.,500000,1,1,1,4,40,.,1,1,03,NA,24,5,15002,0,NA,600,03,2,NA,NA
24304.56,28000,1,4,12,NA,40,.,1,NA,1,NA,2,NA,8,5,3,1,12,0,0,0,0,0,0,0,0,.,0,4,1,0,5,40,.,1,1,12,NA,01,6,3269,.,NA,.,01,2,NA,NA
